key,REF,T1180,ETG87,ECMP84,RP8,PINCH15,CGAMR,noAPH
NG,72.465,73.327,73.6,73.297,72.283,72.465,72.465,109.913
B1,0,0,0,0,0,0,0,0
B2,28.651,29.507,29.337,29.196,27.863,28.651,28.651,28.228
B3,50.339,50.896,51.926,51.018,51.048,50.339,50.339,28.228
B4,102.53,103.462,104.971,103.813,103.163,102.53,102.53,101.759
B5,38.81,38.735,40.23,39.295,40.324,38.81,38.81,38.518
B6,14.784,15.021,15.213,15.137,14.597,14.784,14.784,38.518
B7,2.122,2.23,2.156,2.112,2.228,2.353,14.784,1.668
WC,31.105,32.033,31.849,31.869,30.295,31.105,31.105,30.645
WN,30,30,30,30,30,30,30,30
QV,9.30257,9.40336,9.59097,9.56402,9.097,9.03812,0,22.213
QG,2.122,2.23,2.156,2.112,2.228,2.353,14.784,1.668
