Key,BOIL,TURA,TURB,PUMB,DESG,PUMA,ALTR,EVAP,COND,ENV,Total
BOIL,0,18662.4110075375,7674.12207436884,0,3176.4093763831,0,0,16730.302573816,1065.67798019091,0,47308.9230122964
TURA,0,0,0,0,0,0,20353.6070986395,0,0,0,20353.6070986395
TURB,0,0,0,0,0,0,8444.11723219543,0,0,0,8444.11723219543
PUMB,0,0,0,0,13.6274147801652,0,0,0,0,0,13.6274147801652
DESG,0,1444.75792593583,594.095194188225,0,245.902987598594,0,0,1295.1829877213,82.4998821296057,0,3662.43897757355
PUMA,0,201.757501818114,82.964183874557,0,34.3398513874681,0,0,180.869666335768,11.5209405118691,0,511.452143927776
ALTR,0,0,0,13.6274147801652,0,511.452143927776,0,0,0,28272.6447721269,28797.7243308349
EVAP,0,0,0,0,0,0,0,0,0,18206.3552278731,18206.3552278731
COND,829.923012296373,44.680663347984,92.9357797638069,0,192.159347424221,0,0,0,0,0,1159.69880283239
ENV,46479,0,0,0,0,0,0,0,0,0,46479
Total,47308.9230122964,20353.6070986394,8444.11723219543,13.6274147801652,3662.43897757355,511.452143927776,28797.7243308349,18206.3552278731,1159.69880283238,46479,174936.944240953
