Key,B(kW),B*(kW),Be*(kW),Br*(kW),k*(J/J),ke*(J/J),kr*(J/J)
B1,20470,51482.8141337977,50372.3958332068,1110.41830059086,2.51503732944786,2.46079119849569,0.0542461309521673
B2,8606,21644.4112572283,21177.5690542539,466.842202974352,2.51503732944786,2.46079119849569,0.0542461309521673
B3,3789,9529.47644127794,9323.93785110018,205.538590177762,2.51503732944786,2.46079119849569,0.0542461309521673
B4,468.5,1178.29498884632,1152.88067649523,25.4143123510904,2.51503732944786,2.46079119849569,0.0542461309521673
B5,7.394,18.5961860139375,18.1950901216772,0.401095892260325,2.51503732944786,2.46079119849569,0.0542461309521673
B6,11.76,32.2236007941027,31.4648619408363,0.758738853266338,2.74010210834206,2.67558349837044,0.0645186099716274
B7,1367,3438.05602935522,3363.90156834361,74.1544610116127,2.51503732944786,2.46079119849569,0.0542461309521673
B8,1121,3662.43897757355,3395.36643028445,267.0725472891,3.26711773200138,3.02887281916543,0.23824491283595
B9,1276,4173.89112150132,3893.39583320683,280.495288294492,3.27107454663113,3.05125065298341,0.219823893647721
GN,46479,46479,46479,0,1,1,0
WTA,7549,20353.6070986395,19870.8889278527,482.718170786735,2.696199112285,2.63225446123364,0.0639446510513624
WTB,2845,8444.11723219543,8171.05717460495,273.060057590478,2.96805526614953,2.87207633553777,0.0959789306117674
WBB,4.82,13.6274147801652,13.2697718191592,0.357642961006013,2.82726447721269,2.75306469277161,0.0741997844410816
WBA,180.9,511.452143927776,498.029402922385,13.4227410053917,2.82726447721269,2.75306469277161,0.0741997844410816
WN,10000,28272.6447721269,27530.6469277161,741.997844410816,2.82726447721269,2.75306469277161,0.0741997844410816
QV,6945,18206.3552278731,17813.6674859103,392.687741962739,2.62150543237913,2.56496292093741,0.0565425114417191
QC,461.106,1159.69880283238,1134.68558637355,25.0132164588301,2.51503732944786,2.46079119849569,0.0542461309521673
