Key,BOIL,TURA,TURB,PUMB,DESG,PUMA,ALTR,EVAP,COND,ENV,Total
BOIL,0,7571.6438690767,3113.51621885686,0,1288.72097879824,0,0,6787.75603321935,432.362900048852,0,19194
TURA,0,0,0,0,0,0,7549,0,0,0,7549
TURB,0,0,0,0,0,0,2845,0,0,0,2845
PUMB,0,0,0,0,4.366,0,0,0,0,0,4.366
DESG,0,442.21177332682,181.840766976063,0,75.2660319491939,0,0,396.429848558867,25.2515791890572,0,1121
PUMA,0,61.1443575964827,25.1430141670738,0,10.4069892525647,0,0,54.814118221788,3.49152076209086,0,155
ALTR,0,0,0,4.82,0,180.9,0,0,0,10000,10185.72
EVAP,0,0,0,0,0,0,0,0,0,6945,6945
COND,0,0,0,0,0,0,0,0,0,461.106,461.106
ENV,46479,0,0,0,0,0,0,0,0,0,46479
Total,46479,8075,3320.5,4.82,1378.76,180.9,10394,7239,461.106,17406.106,94939.192
