key,description,fuel,product,type
FCMP,Fuel Compressor,B16,B2-B1,PRODUCTIVE
ACMP,Air Compressor,B17,B11-B10,PRODUCTIVE
FPHT,Fuel Preheater,B7-B8,B3-B2,PRODUCTIVE
MIXR,Mixer,B3+B21+B22,B23,PRODUCTIVE
SOFC,SOFC Stack,B23-B4,(B13-B12)+B14,PRODUCTIVE
ABRN,After burner,B5+B13,B6,PRODUCTIVE
WPHT,Water preheater,B6-B7,B21-B20,PRODUCTIVE
APHT,Air Preheater,B8-B9,B12-B11,PRODUCTIVE
DCAC,Inverter DC/AC,B14,B15+B16+B17+B18,PRODUCTIVE
WPMP,Water Pump,B15,B20-B19,PRODUCTIVE
SPLT,Splitter,B4,B5+B22,PRODUCTIVE
STCK,Gases Stack,B9,B24,DISSIPATIVE
